44964|2011|Mazda|White|CX-7|SUV|123410|3995.0|
44965|2018|Hyundai|Silver|Elantra|Sedan|44120|13995.0|
44966|2016|Nissan|Red|Leaf|Hatchback|70230|12900.0|
44967|2017|Ford|Blue|Mustang|Coupe|63450|21995.0|
44968|2012|Chevrolet|Black|Tahoe|SUV|112900|11995.0|
44969|2019|Honda|White|Accord|Sedan|29840|20995.0|
44970|2014|Toyota|Gray|Sienna|Minivan|98500|10995.0|
44971|2015|Kia|Black|Niro|Hybrid|84210|11995.0|
44972|2013|Subaru|Green|Legacy|Sedan|104320|6995.0|
44973|2016|Volkswagen|Blue|Golf|Hatchback|75210|12495.0|
44974|2018|Ford|White|Explorer|SUV|51230|23995.0|
44975|2011|Nissan|Silver|Cube|Hatchback|130450|4195.0|
44976|2017|Chevrolet|Red|Camaro|Coupe|62100|24995.0|
44977|2012|Honda|White|Fit|Hatchback|118900|5295.0|
44978|2019|Toyota|Blue|Tacoma|Truck|40200|27995.0|
44979|2014|Mazda|Gray|CX-5|SUV|94620|8990.0|
44980|2015|Hyundai|Black|Veloster|Coupe|83210|8995.0|
44981|2016|Ford|Silver|C-Max|Hybrid|71200|9995.0|
44982|2013|Kia|White|Soul|Hatchback|100230|6495.0|
44983|2018|Nissan|Black|Altima|Sedan|51210|15995.0|
44984|2010|Chevrolet|Blue|Cobalt|Sedan|147900|2395.0|
44985|2017|Honda|Red|Civic|Sedan|58220|14995.0|
44986|2014|Toyota|Silver|Corolla|Sedan|91200|7995.0|
44987|2015|Mazda|White|CX-5|SUV|80210|13950.0|
44988|2012|Ford|Black|Escape|SUV|118700|5995.0|
44989|2016|Chevrolet|Gray|Tahoe|SUV|72230|22990.0|
44990|2019|Kia|White|Sportage|SUV|31250|17995.0|
44991|2011|Hyundai|Blue|Genesis|Sedan|125800|4595.0|
44992|2018|Nissan|Silver|Rogue|SUV|48120|16995.0|
44993|2013|Toyota|Black|Camry|Sedan|102400|7495.0|
44994|2017|Ford|White|Transit Connect|Van|68120|15950.0|
44995|2010|Honda|Gray|CR-Z|Coupe|139900|2795.0|
44996|2014|Chevrolet|Red|Cruze|Sedan|98230|6790.0|
44997|2015|Mazda|Black|Mazda5|Minivan|87210|7995.0|
44998|2016|Volkswagen|Blue|Beetle|Coupe|74200|10995.0|
44999|2012|Toyota|White|Venza|SUV|116400|6995.0|
45000|2019|Honda|Silver|Insight|Hybrid|31200|18995.0|
